timestamp,open,high,low,close,volume
2014-02-19,187.9090,189.4550,186.8000,187.3910,797110
2014-02-18,183.8180,190.1820,182.6180,188.6820,1517379
2014-02-17,180.0000,184.3640,179.7910,183.5360,839575
2014-02-14,179.2730,180.1820,176.3640,179.7090,928070
2014-02-13,182.0000,183.4360,177.6360,178.4000,961593
2014-02-12,177.6360,182.0000,177.4450,181.6820,1618601
2014-02-11,175.4450,176.8910,174.9450,176.2000,589919
2014-02-10,175.6360,176.0000,173.8180,174.4640,713894
2014-02-07,176.3640,176.4550,173.0360,174.8640,1163200
2014-02-06,176.3360,177.2550,172.0000,174.1090,1795607
2014-02-05,177.2360,177.6360,173.6550,175.6640,1414440
2014-02-04,172.7270,176.9820,171.6820,176.3820,1418791
2014-02-03,178.9640,178.9640,173.8180,175.2180,1251085
2014-01-31,178.9090,180.9090,176.3640,179.7270,1225658
2014-01-30,179.0910,180.4640,175.4550,177.2270,2673764
2014-01-29,187.2730,189.2640,181.1270,182.1730,3435641
2014-01-28,183.9180,187.0910,177.9360,185.3000,2213184
2014-01-27,188.3640,188.8270,183.2730,183.6450,1359380
2014-01-24,194.1820,195.2270,191.4360,192.3550,810194
2014-01-23,198.3640,198.3640,194.9090,196.2000,1106716
2014-01-22,196.3640,198.2730,194.3730,197.6450,1590699
2014-01-21,190.9550,197.2730,190.6730,196.1450,2163315
2014-01-20,188.1820,190.4550,186.9090,189.8360,862868
2014-01-17,190.9270,193.0730,187.6360,188.1820,1832523
2014-01-16,194.1820,195.6090,190.7090,192.8820,1630871
2014-01-15,189.3640,194.2640,189.3640,192.4270,1731356
2014-01-14,191.8000,192.8000,186.7270,188.6450,986222
2014-01-13,187.0640,193.1730,186.7270,192.0360,1199864
2014-01-10,191.0450,191.8180,184.5450,186.2820,1505515
2014-01-09,192.7270,193.6820,189.6000,191.1820,2034307
2014-01-08,192.5450,193.2730,189.5640,191.6450,1167969
2014-01-07,189.9820,192.5640,186.3820,190.9000,2056769
2014-01-06,193.8180,193.8910,188.1820,189.2180,1927217
2014-01-03,193.2730,195.4180,190.1820,194.0000,1995444
2014-01-02,199.4550,203.2730,194.5450,195.4730,1800244
2014-01-01,200.3640,201.0730,198.6090,199.5270,457765
2013-12-31,200.0000,201.4550,199.0820,199.7180,712371
2013-12-30,201.6360,204.2550,198.6450,199.1640,707096
2013-12-27,201.2730,202.5450,200.3640,201.4360,926222
2013-12-26,199.6360,200.6550,198.5820,199.6820,965234
2013-12-24,200.3640,201.0450,197.9090,199.6910,1199754
2013-12-23,197.2820,201.2730,197.2820,199.3910,1326292
2013-12-20,193.7270,198.1640,193.7270,197.6820,1598443
2013-12-19,201.0910,202.1820,192.4180,193.4000,2645286
2013-12-18,197.7000,206.1820,196.7820,199.4180,3268870
2013-12-17,202.0000,203.9730,198.1820,199.6820,1378685
2013-12-16,197.6360,200.7270,197.4550,199.5270,1022335
2013-12-13,202.9090,203.6180,196.4000,197.3550,2768188
2013-12-12,210.5820,210.5820,205.0910,205.8270,1341554
2013-12-11,209.2730,213.2180,207.5180,210.8090,1851487
2013-12-10,218.1820,218.7270,209.8270,210.8640,2926985
2013-12-09,217.7270,219.3090,216.6360,218.5000,4208000
2013-12-06,205.8910,208.2180,204.1450,207.7730,2759620
2013-12-05,200.1000,207.2550,200.1000,206.5640,4371978
2013-12-04,195.7550,196.0000,192.4000,193.6640,2446064
2013-12-03,197.4550,199.7820,196.0820,197.4730,1863890
2013-12-02,194.2180,200.1820,194.2180,197.9820,1589467
2013-11-29,189.8180,195.0550,189.8180,194.1640,1925644
2013-11-28,191.6360,193.5180,187.5730,189.0360,2074804
2013-11-27,190.8360,192.2360,188.6090,189.4910,1580051
2013-11-26,194.0000,197.2360,189.2730,190.0450,1602403
2013-11-25,189.0360,195.9000,188.1730,195.1450,2145550
2013-11-22,188.3640,189.8910,183.9640,185.7270,2239484
2013-11-21,189.0910,189.2640,185.7450,187.2180,1222084
2013-11-20,196.1820,196.3640,189.6360,191.2450,1102712
2013-11-19,196.0000,198.0180,194.9270,196.8360,2623054
2013-11-18,193.7090,197.5910,192.7270,195.2360,2076316
2013-11-14,186.1820,194.1730,186.1820,190.8640,1867250
2013-11-13,181.6360,186.1820,181.0180,184.2640,1589192
2013-11-12,188.7270,189.7910,183.3090,184.0820,1563430
2013-11-11,189.6000,191.5180,187.6360,188.6640,1096183
2013-11-08,191.0550,192.3640,189.2730,190.8640,1442221
2013-11-07,196.7730,198.4910,190.6000,191.1090,2354038
2013-11-06,199.7270,200.0000,195.8000,196.4090,1343848
2013-11-05,203.6360,206.6270,198.4820,199.2450,1794095
2013-11-01,204.0000,207.2450,201.4450,206.0730,1823184
2013-10-31,199.0910,205.4270,197.8360,203.8270,1989581
2013-10-30,196.5450,201.2730,196.2550,199.9000,3438661
2013-10-29,184.7270,196.3640,182.2360,195.5360,4412348
2013-10-28,186.7270,189.3640,183.4000,184.4640,1434538
2013-10-25,187.9910,188.5450,183.2550,185.7550,3872594
2013-10-24,186.4910,190.4910,184.2820,185.7550,2443221
2013-10-23,184.0000,186.7730,182.8090,186.2730,1612386
2013-10-22,181.4550,186.6730,181.4550,183.8820,1455377
2013-10-21,183.5270,186.4640,182.5450,183.6820,1621978
2013-10-18,177.0910,184.3640,176.9550,183.4550,2897092
2013-10-17,176.9090,178.0730,174.2910,175.6640,1100754
2013-10-15,181.8180,182.3640,176.7450,177.3550,1228310
